event_url,event_name,event_winner,event_weight_class,event_winning_method,event_total_rounds,event_total_seconds,event_date,fighter1_url,fighter1_name,fighter1_knockdown,fighter1_landed_significant_strikes,fighter1_total_significant_strikes,fighter1_success_takedown,fighter1_total_attempted_takedown,fighter1_submission_attempt,fighter1_control_time_in_seconds,fighter1_significant_strikes_breakdown_head,fighter1_significant_strikes_breakdown_head_total,fighter1_significant_strikes_breakdown_body,fighter1_significant_strikes_breakdown_body_total,fighter1_significant_strikes_breakdown_leg,fighter1_significant_strikes_breakdown_leg_total,fighter1_significant_strikes_breakdown_distance,fighter1_significant_strikes_breakdown_distance_total,fighter1_significant_strikes_breakdown_clinch,fighter1_significant_strikes_breakdown_clinch_total,fighter1_significant_strikes_breakdown_ground,fighter1_significant_strikes_breakdown_ground_total,fighter1_significant_strikes_absorbed_per_minute,fighter1_weight_lbs,fighter1_average_takedown_landed_per_15_minutes,fighter1_reach_cm,fighter1_significant_strikes_per_minute,fighter1_average_submission_landed_per_15_minutes,fighter1_significant_striking_accuracy,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_stance,fighter1_significant_strikes_pct,fighter1_age,fighter1_significant_strike_defence,fighter1_birthdate,fighter1_takedown_pct,fighter1_height_cm,fighter2_url,fighter2_name,fighter2_knockdown,fighter2_landed_significant_strikes,fighter2_total_significant_strikes,fighter2_success_takedown,fighter2_total_attempted_takedown,fighter2_submission_attempt,fighter2_control_time_in_seconds,fighter2_significant_strikes_breakdown_head,fighter2_significant_strikes_breakdown_head_total,fighter2_significant_strikes_breakdown_body,fighter2_significant_strikes_breakdown_body_total,fighter2_significant_strikes_breakdown_leg,fighter2_significant_strikes_breakdown_leg_total,fighter2_significant_strikes_breakdown_distance,fighter2_significant_strikes_breakdown_distance_total,fighter2_significant_strikes_breakdown_clinch,fighter2_significant_strikes_breakdown_clinch_total,fighter2_significant_strikes_breakdown_ground,fighter2_significant_strikes_breakdown_ground_total,fighter2_significant_strikes_absorbed_per_minute,fighter2_weight_lbs,fighter2_average_takedown_landed_per_15_minutes,fighter2_reach_cm,fighter2_significant_strikes_per_minute,fighter2_average_submission_landed_per_15_minutes,fighter2_significant_striking_accuracy,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_stance,fighter2_significant_strikes_pct,fighter2_age,fighter2_significant_strike_defence,fighter2_birthdate,fighter2_takedown_pct,fighter2_height_cm
http://ufcstats.com/fight-details/0bcb04163f8d8ead,UFC Fight Night: Benavidez vs. Figueiredo,Spike Carlyle,Featherweight Bout,KO/TKO,1,85,2020-02-29,http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,0,2,12,0,1,0,5,2,4,0,4,0,4,2,12,0,0,0,0,,145,0,198.12,9.04,0,0.402,0,,Switch,16.67,30.4421629,,1989-09-20,0,182.88,http://ufcstats.com/fighter-details/be68b375707dcb85,Spike Carlyle,0,20,29,0,0,0,7,19,27,0,1,1,1,2,6,4,5,14,18,,145,,180.34,,,,,1,Switch,68.97,26.81724846,0.598,1993-05-06,,172.72
http://ufcstats.com/fight-details/119559fd8124fee3,UFC Fight Night: Holloway vs. Allen,Gaston Bolanos,Bantamweight Bout,Decision - Unanimous,3,900,2023-04-15,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,Aaron Phillips,0,17,39,3,5,1,361,7,22,9,13,1,4,16,37,1,2,0,0,,135,0,180.34,1.65,0,0.569,0,,Southpaw,43.59,33.69199179,,1989-08-05,60,175.26,http://ufcstats.com/fighter-details/96924b0019b3aff1,Gaston Bolanos,0,63,127,0,0,0,96,32,82,7,14,24,31,43,93,0,0,20,34,,135,,175.26,,,,,1,Orthodox,49.61,30.58179329,0.431,1992-09-14,,170.18
http://ufcstats.com/fight-details/b2867869d4eb98ce,UFC Fight Night: Henderson vs Dos Anjos,Matt Hobar,Bantamweight Bout,Decision - Unanimous,3,900,2014-08-23,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,Aaron Phillips,0,38,54,0,1,0,0,23,39,12,12,3,3,14,25,17,18,7,11,0.47,135,0,180.34,1.2,0,0.45,,,Southpaw,70.37,25.04859685,0.741,1989-08-05,0,175.26,http://ufcstats.com/fighter-details/b57edace7b647f07,Matt Hobar,0,63,100,6,9,0,775,51,85,8,11,4,4,6,15,21,28,36,57,6.47,135,0,177.8,2.51,0,0.259,,,Southpaw,63,27.62491444,0.55,1987-01-07,66.67,177.8
http://ufcstats.com/fight-details/6190569c372725bf,UFC 114: Rampage vs Evans,Aaron Riley,Lightweight Bout,Decision - Unanimous,3,900,2010-05-29,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,0,46,104,3,8,0,306,17,68,11,15,18,21,27,81,16,19,3,4,0.05,155,0.01,175.26,4.02,0,0.388,0.333,,Southpaw,44.23,29.46748802,0.842,1980-12-09,37.5,172.72,http://ufcstats.com/fighter-details/013da757877044a2,Joe Brammer,0,37,107,1,2,0,33,20,73,14,21,3,13,29,89,8,18,0,0,74.17,155,0,,0.83,0,0.158,,0.667,Orthodox,34.58,26.7652293,0.612,1983-08-23,50,172.72
http://ufcstats.com/fight-details/958bd435389dd12a,UFC 91: Couture vs Lesnar,Aaron Riley,Lightweight Bout,Decision - Unanimous,3,900,2008-11-15,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,0,98,222,1,1,0,147,63,172,21,27,14,23,69,181,21,29,8,12,11,155,0.01,175.26,3.85,0,0.38,0.286,0.75,Southpaw,44.14,27.93429158,0.674,1980-12-09,100,172.72,http://ufcstats.com/fighter-details/04d5718ed2661e8c,Jorge Gurgel,0,70,199,1,4,0,12,46,166,21,26,3,7,56,174,14,25,0,0,1.11,155,0,175.26,3.18,0,0.326,0.25,0.714,Orthodox,35.18,31.80561259,0.62,1977-01-25,25,170.18
http://ufcstats.com/fight-details/b616969d55fb2d7a,UFC on FOX: Johnson vs Moraga,Justin Salas,Lightweight Bout,Decision - Split,3,900,2013-07-27,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,0,26,172,0,0,0,0,10,123,8,34,8,15,23,169,3,3,0,0,0.64,155,0.01,175.26,3.75,0,0.385,0.348,0.789,Southpaw,15.12,32.62970568,0.538,1980-12-09,,172.72,http://ufcstats.com/fighter-details/9b198c73e3d0d289,Justin Salas,0,54,140,3,9,0,30,38,115,7,12,9,13,44,127,8,11,2,2,20.12,155,0.02,177.8,3.42,0,0.462,0.211,0.652,Southpaw,38.57,31.37303217,0.615,1982-03-13,33.33,172.72
http://ufcstats.com/fight-details/c0d2c9d507be7415,PRIDE Bushido 7,Aaron Riley,Lightweight Bout,KO/TKO,1,360,2005-05-22,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,1,36,110,0,0,0,,33,105,3,4,0,1,30,96,4,8,2,6,,155,0,175.26,3.67,0,0.423,0,,Southpaw,32.73,24.44900753,,1980-12-09,,172.72,http://ufcstats.com/fighter-details/9f842be1a5337be6,Michihiro Omigawa,0,10,37,2,5,0,,10,36,0,0,0,1,10,33,0,0,0,4,,145,,172.72,,,,,1,Orthodox,27.03,29.42368241,0.577,1975-12-19,40,167.64
http://ufcstats.com/fight-details/6a61d45818534b19,UFC 101: Declaration,Aaron Riley,Lightweight Bout,Decision - Unanimous,3,900,2009-08-08,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,0,50,122,2,5,0,468,28,96,18,22,4,4,16,74,24,35,10,13,0.36,155,0,175.26,4.84,0,0.409,0.375,0.7,Southpaw,40.98,28.66255989,0.659,1980-12-09,40,172.72,http://ufcstats.com/fighter-details/2db7fa8db6bc9632,Shane Nelson,0,28,74,0,5,0,1,13,59,14,14,1,1,15,57,13,17,0,0,12.84,155,0.01,177.8,0.95,0.01,0.341,0.3,0.625,Southpaw,37.84,24.6899384,0.591,1984-11-29,0,175.26
http://ufcstats.com/fight-details/f377d703092b1ab2,Strikeforce Challengers 1,Aaron Rosa,Light Heavyweight Bout,Submission,1,269,2009-05-15,http://ufcstats.com/fighter-details/11f8860028b68fcf,Aaron Rosa,0,17,25,1,2,1,,10,16,5,6,2,3,1,6,12,14,4,5,,205,,195.58,,,,,0.625,Orthodox,68,25.96577687,0.356,1983-05-28,50,193.04,http://ufcstats.com/fighter-details/657c21cb133f1445,Anthony Ruiz,0,20,31,0,3,0,,9,16,1,1,10,14,4,7,16,24,0,0,,205,0.01,,2.42,0,0.644,0.375,,Orthodox,64.52,31.52908966,,1977-11-03,0,187.96
http://ufcstats.com/fight-details/48c6c45d9628bb79,UFC on FOX: Velasquez vs Dos Santos,Aaron Rosa,Light Heavyweight Bout,Decision - Majority,3,900,2011-11-12,http://ufcstats.com/fighter-details/11f8860028b68fcf,Aaron Rosa,0,59,99,0,0,0,52,25,63,29,31,5,5,18,55,41,44,0,0,,205,0,195.58,4.44,0,0.443,0.333,,Orthodox,59.6,28.45995893,,1983-05-28,,193.04,http://ufcstats.com/fighter-details/668222c99c5c311d,Matt Lucas,0,19,39,1,10,0,412,19,39,0,0,0,0,14,34,4,4,1,1,,205,,,,,,,0.667,,48.72,,0.557,,10,185.42
